date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:00	152041/152041	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:19%20GMT	https://www.munipozuzo.com.pe/transparencia/datos-generales/guias	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/datos-generales/guias.html	(from https://www.munipozuzo.com.pe/)
10:45:00	166898/166898	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:19%20GMT	https://www.munipozuzo.com.pe/transparencia/datos-generales/reglamentos-y-cdigos	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/datos-generales/reglamentos-y-cdigos.html	(from https://www.munipozuzo.com.pe/)
10:45:01	136646/136646	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:20%20GMT	https://www.munipozuzo.com.pe/transparencia/datos-generales/memorias-anuales	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/datos-generales/memorias-anuales.html	(from https://www.munipozuzo.com.pe/)
10:45:02	131091/131091	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:21%20GMT	https://www.munipozuzo.com.pe/transparencia/datos-generales/recomendaciones-de-auditora	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/datos-generales/recomendaciones-de-auditora.html	(from https://www.munipozuzo.com.pe/)
10:45:02	132851/132851	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:21%20GMT	https://www.munipozuzo.com.pe/transparencia/datos-generales/lineamientos	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/datos-generales/lineamientos.html	(from https://www.munipozuzo.com.pe/)
10:45:03	129457/129457	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:22%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/pap	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/pap.html	(from https://www.munipozuzo.com.pe/)
10:45:04	130760/130760	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:22%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/mof	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/mof.html	(from https://www.munipozuzo.com.pe/)
10:45:04	138285/138285	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:23%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/rof	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/rof.html	(from https://www.munipozuzo.com.pe/)
10:45:05	132043/132043	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:24%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/cap	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/cap.html	(from https://www.munipozuzo.com.pe/)
10:45:06	174965/174965	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2015:51:24%20GMT	https://www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/poi	C:/My%20Web%20Sites/MUNI/www.munipozuzo.com.pe/transparencia/planeamiento-y-organizacion/poi.html	(from https://www.munipozuzo.com.pe/)
